     232     9    -1
     233     9     1
     234     9     3
     235     9     5
     236     9     7
     237    10   -10
     238    10    -8
     239    10    -6
     240    10    -4
     241    10    -2
     242    10     0
     243    10     2
     244    10     4
     245    10     6
     246    10     8
     247    11    -9
     248    11    -7
     249    11    -5
     250    11    -3
     251    11    -1
     252    11     1
     253    11     3
     254    11     5
     255    11     7
     256     1     1
     257     2     2
     258     1     3
     259     3     3
     260     2     4
     261     1     5
     262     4     4
     263     3     5
     264     2     6
     265     1     7
     266     5     5
     267     4     6
     268     3     7
     269     2     8
     270     1     9
     271     6     6
     272     5     7
     273     4     8
     274     3     9
     275     2    10
     276     1    11
     277     7     7
     278     6     8
     279     5     9
     280     4    10
     281     3    11
     282     2    12
     283     1    13
     284     8     8
     285     7     9
     286     6    10
     287     5    11
     288     4    12
     289     3    13
     290     2    14
     291     1    15
     292     9     9
     293     8    10
     294     7    11
     295     6    12
     296     5    13
     297     4    14
     298     3    15
     299     2    16
     300     1    17
     301    10    10
     302     9    11
     303     8    12
     304     7    13
     305     6    14
     306     5    15
     307     4    16
     308     3    17
     309     2    18
     310     1    19
     311    10    12
     312     9    13
     313     8    14
     314     7    15
     315     6    16
     316     5    17
     317     4    18
     318     3    19
     319     2    20
     320     0     2
     321     0     4
     322    -1     3
     323     0     6
     324    -1     5
     325    -2     4
     326     0     8
     327    -1     7
     328    -2     6
     329    -3     5
     330     0    10
     331    -1     9
     332    -2     8
     333    -3     7
     334    -4     6
     335     0    12
     336    -1    11
     337    -2    10
     338    -3     9
     339    -4     8
     340    -5     7
     341     0    14
     342    -1    13
     343    -2    12
     344    -3    11
     345    -4    10
     346    -5     9
     347    -6     8
     348     0    16
     349    -1    15
     350    -2    14
     351    -3    13
     352    -4    12
     353    -5    11
     354    -6    10
     355    -7     9
     356     0    18
     357    -1    17
     358    -2    16
     359    -3    15
     360    -4    14
     361    -5    13
     362    -6    12
     363    -7    11
     364    -8    10
     365     0    20
     366    -1    19
     367    -2    18
     368    -3    17
     369    -4    16
     370    -5    15
     371    -6    14
     372    -7    13
     373    -8    12
     374    -9    11
     375    -2    20
     376    -3    19
     377    -4    18
     378    -5    17
     379    -6    16
     380    -7    15
     381    -8    14
     382    -9    13
     383   -10    12
