     230    -9   -11
     231    -9   -13
     232    -9   -15
     233   -10    -2
     234   -10    -4
     235   -10    -6
     236   -10    -8
     237   -10   -10
     238   -10   -12
     239   -10   -14
     240   -10   -16
     241   -11    -3
     242   -11    -5
     243   -11    -7
     244   -11    -9
     245   -11   -11
     246   -11   -13
     247   -12    -2
     248   -12    -4
     249   -12    -6
     250   -12    -8
     251   -12   -10
     252   -13    -3
     253   -13    -5
     254   -13    -7
     255    -1     1
     256    -2     2
     257    -2     0
     258    -3     3
     259    -3     1
     260    -4     6
     261    -4     4
     262    -4     2
     263    -4     0
     264    -5     7
     265    -5     5
     266    -5     3
     267    -5     1
     268    -6     8
     269    -6     6
     270    -6     4
     271    -6     2
     272    -6     0
     273    -7     9
     274    -7     7
     275    -7     5
     276    -7     3
     277    -7     1
     278    -8    12
     279    -8    10
     280    -8     8
     281    -8     6
     282    -8     4
     283    -8     2
     284    -8     0
     285    -9    13
     286    -9    11
     287    -9     9
     288    -9     7
     289    -9     5
     290    -9     3
     291    -9     1
     292   -10    14
     293   -10    12
     294   -10    10
     295   -10     8
     296   -10     6
     297   -10     4
     298   -10     2
     299   -10     0
     300   -11    13
     301   -11    11
     302   -11     9
     303   -11     7
     304   -11     5
     305   -11     3
     306   -11     1
     307   -11    -1
     308   -12    10
     309   -12     8
     310   -12     6
     311   -12     4
     312   -12     2
     313   -12     0
     314   -13     7
     315   -13     5
     316   -13     3
     317   -13     1
     318   -13    -1
     319    -1     3
     320    -1     5
     321    -2     4
     322    -1     7
     323    -2     6
     324    -3     5
     325    -1     9
     326    -2     8
     327    -3     7
     328    -1    11
     329    -2    10
     330    -3     9
     331    -4     8
     332    -1    13
     333    -2    12
     334    -3    11
     335    -4    10
     336    -5     9
     337    -1    15
     338    -2    14
     339    -3    13
     340    -4    12
     341    -5    11
     342    -6    10
     343    -1    17
     344    -2    16
     345    -3    15
     346    -4    14
     347    -5    13
     348    -6    12
     349    -7    11
     350    -1    19
     351    -2    18
     352    -3    17
     353    -4    16
     354    -5    15
     355    -6    14
     356    -7    13
     357    -1    21
     358    -2    20
     359    -3    19
     360    -4    18
     361    -5    17
     362    -6    16
     363    -7    15
     364    -8    14
     365    -1    23
     366    -2    22
     367    -3    21
     368    -4    20
     369    -5    19
     370    -6    18
     371    -7    17
     372    -8    16
     373    -9    15
     374    -3    23
     375    -4    22
     376    -5    21
     377    -6    20
     378    -7    19
     379    -8    18
     380    -9    17
     381   -10    16
     382     0     2
     383     0     4
     384     1     5
     385     0     6
     386     2     6
     387     1     7
     388     0     8
     389     3     7
     390     2     8
     391     1     9
     392     0    10
     393     3     9
     394     2    10
     395     1    11
     396     0    12
     397     4    10
     398     3    11
     399     2    12
     400     1    13
     401     0    14
     402     5    11
     403     4    12
     404     3    13
     405     2    14
     406     1    15
     407     0    16
     408     6    12
     409     5    13
     410     4    14
     411     3    15
     412     2    16
     413     1    17
     414     0    18
     415     7    13
     416     6    14
     417     5    15
